2020-04-18 18:28:39 | INFO | com.netflix.config.sources.URLConfigurationSource | <init>:122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-18 18:28:39 | INFO | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor | initialize:181 | Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 18:28:41 | INFO | org.springframework.cloud.netflix.eureka.InstanceInfoFactory | create:71 | Setting initial instance status as: STARTING
2020-04-18 18:28:41 | INFO | com.netflix.discovery.DiscoveryClient | <init>:349 | Initializing Eureka in region us-east-1
2020-04-18 18:28:41 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:70 | Using JSON encoding codec LegacyJacksonJson
2020-04-18 18:28:41 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:71 | Using JSON decoding codec LegacyJacksonJson
2020-04-18 18:28:41 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:80 | Using XML encoding codec XStreamXml
2020-04-18 18:28:41 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:81 | Using XML decoding codec XStreamXml
2020-04-18 18:28:42 | INFO | com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver | getClusterEndpoints:43 | Resolving eureka endpoints via configuration
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:958 | Disable delta property : false
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:959 | Single vip registry refresh property : null
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:960 | Force full registry fetch : false
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:961 | Application is null : false
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:962 | Registered Applications size is zero : true
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:964 | Application version is -1: true
2020-04-18 18:28:42 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1047 | Getting all instance registry info from the eureka server
2020-04-18 18:28:43 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1056 | The response status is 200
2020-04-18 18:28:43 | INFO | com.netflix.discovery.DiscoveryClient | initScheduledTasks:1264 | Starting heartbeat executor: renew interval is: 10
2020-04-18 18:28:43 | INFO | com.netflix.discovery.InstanceInfoReplicator | <init>:60 | InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-04-18 18:28:43 | INFO | com.netflix.discovery.DiscoveryClient | <init>:449 | Discovery Client initialized at timestamp 1587205723171 with initial instances count: 0
2020-04-18 18:28:43 | INFO | org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry | register:42 | Registering application mine-setting-api with eureka with status UP
2020-04-18 18:28:43 | INFO | com.netflix.discovery.DiscoveryClient | notify:1299 | Saw local status change event StatusChangeEvent [timestamp=1587205723180, current=UP, previous=STARTING]
2020-04-18 18:28:43 | INFO | com.netflix.discovery.DiscoveryClient | register:826 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766: registering service...
2020-04-18 18:28:43 | INFO | org.apache.coyote.http11.Http11NioProtocol | log:173 | Starting ProtocolHandler ["http-nio-8766"]
2020-04-18 18:28:43 | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | start:204 | Tomcat started on port(s): 8766 (http) with context path '/setting'
2020-04-18 18:28:43 | INFO | com.xnpool.setting.SettingApplication | logStarted:61 | Started SettingApplication in 13.938 seconds (JVM running for 19.55)
2020-04-18 18:28:43 | INFO | com.netflix.discovery.DiscoveryClient | register:835 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766 - registration status: 204
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:958 | Disable delta property : false
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:959 | Single vip registry refresh property : null
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:960 | Force full registry fetch : false
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:961 | Application is null : false
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:962 | Registered Applications size is zero : true
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:964 | Application version is -1: false
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1047 | Getting all instance registry info from the eureka server
2020-04-18 18:28:48 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1056 | The response status is 200
2020-04-18 18:33:42 | INFO | com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver | getClusterEndpoints:43 | Resolving eureka endpoints via configuration
2020-04-18 18:38:42 | INFO | com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver | getClusterEndpoints:43 | Resolving eureka endpoints via configuration
2020-04-18 18:39:37 | INFO | org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry | deregister:65 | Unregistering application mine-setting-api with eureka with status DOWN
2020-04-18 18:39:37 | INFO | com.netflix.discovery.DiscoveryClient | register:826 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766: registering service...
2020-04-18 18:39:37 | INFO | com.netflix.discovery.DiscoveryClient | shutdown:888 | Shutting down DiscoveryClient ...
2020-04-18 18:39:37 | INFO | com.netflix.discovery.DiscoveryClient | register:835 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766 - registration status: 204
2020-04-18 18:39:37 | INFO | com.netflix.discovery.DiscoveryClient | unregister:922 | Unregistering ...
2020-04-18 18:39:37 | INFO | com.netflix.discovery.DiscoveryClient | unregister:924 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766 - deregister  status: 200
2020-04-18 18:39:37 | INFO | com.netflix.discovery.DiscoveryClient | shutdown:911 | Completed shut down of DiscoveryClient
2020-04-18 18:39:37 | INFO | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor | shutdown:218 | Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-18 18:39:37 | INFO | com.alibaba.druid.pool.DruidDataSource | close:1823 | {dataSource-1} closed
2020-04-18 18:39:48 | INFO | org.springframework.boot.devtools.restart.RestartApplicationListener | onApplicationStartingEvent:72 | Restart disabled due to an agent-based reloader being active
2020-04-18 18:39:52 | INFO | org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor | logTo:225 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-18 18:39:53 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:330 | Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a1b9d10f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
